Recall,Precision
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.000561797752808989,0.0625
0.000561797752808989,0.0588235294117647
0.000561797752808989,0.0555555555555556
0.000561797752808989,0.0526315789473684
0.000561797752808989,0.05
0.000561797752808989,0.0476190476190476
0.000561797752808989,0.0454545454545455
0.00112359550561798,0.0869565217391304
0.00112359550561798,0.0833333333333333
0.00112359550561798,0.08
0.00112359550561798,0.0769230769230769
0.00168539325842697,0.111111111111111
0.00224719101123596,0.142857142857143
0.00224719101123596,0.137931034482759
0.00224719101123596,0.133333333333333
0.00224719101123596,0.129032258064516
0.00280898876404494,0.15625
0.00337078651685393,0.181818181818182
0.00337078651685393,0.176470588235294
0.00337078651685393,0.171428571428571
0.00337078651685393,0.166666666666667
0.00337078651685393,0.162162162162162
0.00393258426966292,0.184210526315789
0.00449438202247191,0.205128205128205
0.00449438202247191,0.2
0.00449438202247191,0.195121951219512
0.00449438202247191,0.19047619047619
0.0050561797752809,0.209302325581395
0.0050561797752809,0.204545454545455
0.0050561797752809,0.2
0.00561797752808989,0.217391304347826
0.00561797752808989,0.212765957446809
0.00617977528089888,0.229166666666667
0.00674157303370787,0.244897959183673
0.00674157303370787,0.24
0.00674157303370787,0.235294117647059
0.00674157303370787,0.230769230769231
0.00674157303370787,0.226415094339623
0.00674157303370787,0.222222222222222
0.00730337078651685,0.236363636363636
0.00730337078651685,0.232142857142857
0.00730337078651685,0.228070175438596
0.00730337078651685,0.224137931034483
0.00730337078651685,0.220338983050847
0.00730337078651685,0.216666666666667
0.00786516853932584,0.229508196721311
0.00786516853932584,0.225806451612903
0.00786516853932584,0.222222222222222
0.00786516853932584,0.21875
0.00842696629213483,0.230769230769231
0.00842696629213483,0.227272727272727
0.00842696629213483,0.223880597014925
0.00842696629213483,0.220588235294118
0.00842696629213483,0.217391304347826
0.00842696629213483,0.214285714285714
0.00842696629213483,0.211267605633803
0.00842696629213483,0.208333333333333
0.00898876404494382,0.219178082191781
0.00898876404494382,0.216216216216216
0.00898876404494382,0.213333333333333
0.00898876404494382,0.210526315789474
0.00955056179775281,0.220779220779221
0.00955056179775281,0.217948717948718
0.00955056179775281,0.215189873417722
0.00955056179775281,0.2125
0.00955056179775281,0.209876543209877
0.00955056179775281,0.207317073170732
0.00955056179775281,0.204819277108434
0.00955056179775281,0.202380952380952
0.0101123595505618,0.211764705882353
0.0106741573033708,0.22093023255814
0.0112359550561798,0.229885057471264
0.0112359550561798,0.227272727272727
0.0112359550561798,0.224719101123595
0.0112359550561798,0.222222222222222
0.0112359550561798,0.21978021978022
0.0112359550561798,0.217391304347826
0.0112359550561798,0.21505376344086
0.0112359550561798,0.212765957446809
0.0112359550561798,0.210526315789474
0.0112359550561798,0.208333333333333
0.0117977528089888,0.216494845360825
0.0117977528089888,0.214285714285714
0.0117977528089888,0.212121212121212
0.0117977528089888,0.21
0.0117977528089888,0.207920792079208
0.0123595505617978,0.215686274509804
0.0123595505617978,0.213592233009709
0.0123595505617978,0.211538461538462
0.0123595505617978,0.20952380952381
0.0123595505617978,0.207547169811321
0.0129213483146067,0.214953271028037
0.0134831460674157,0.222222222222222
0.0140449438202247,0.229357798165138
0.0140449438202247,0.227272727272727
0.0140449438202247,0.225225225225225
0.0146067415730337,0.232142857142857
0.0146067415730337,0.230088495575221
0.0146067415730337,0.228070175438596
0.0146067415730337,0.226086956521739
0.0146067415730337,0.224137931034483
0.0146067415730337,0.222222222222222
0.0151685393258427,0.228813559322034
0.0151685393258427,0.226890756302521
0.0151685393258427,0.225
0.0157303370786517,0.231404958677686
0.0157303370786517,0.229508196721311
0.0157303370786517,0.227642276422764
0.0162921348314607,0.233870967741935
0.0162921348314607,0.232
0.0162921348314607,0.23015873015873
0.0162921348314607,0.228346456692913
0.0162921348314607,0.2265625
0.0168539325842697,0.232558139534884
0.0168539325842697,0.230769230769231
0.0168539325842697,0.229007633587786
0.0168539325842697,0.227272727272727
0.0168539325842697,0.225563909774436
0.0168539325842697,0.223880597014925
0.0168539325842697,0.222222222222222
0.0168539325842697,0.220588235294118
0.0168539325842697,0.218978102189781
0.0174157303370787,0.22463768115942
0.0179775280898876,0.23021582733813
0.0179775280898876,0.228571428571429
0.0179775280898876,0.226950354609929
0.0179775280898876,0.225352112676056
0.0179775280898876,0.223776223776224
0.0179775280898876,0.222222222222222
0.0179775280898876,0.220689655172414
0.0179775280898876,0.219178082191781
0.0185393258426966,0.224489795918367
0.0185393258426966,0.222972972972973
0.0185393258426966,0.221476510067114
0.0185393258426966,0.22
0.0185393258426966,0.218543046357616
0.0185393258426966,0.217105263157895
0.0191011235955056,0.222222222222222
0.0196629213483146,0.227272727272727
0.0202247191011236,0.232258064516129
0.0202247191011236,0.230769230769231
0.0202247191011236,0.229299363057325
0.0202247191011236,0.227848101265823
0.0202247191011236,0.226415094339623
0.0202247191011236,0.225
0.0207865168539326,0.229813664596273
0.0207865168539326,0.228395061728395
0.0207865168539326,0.226993865030675
0.0213483146067416,0.231707317073171
0.0213483146067416,0.23030303030303
0.0213483146067416,0.228915662650602
0.0213483146067416,0.227544910179641
0.0213483146067416,0.226190476190476
0.0213483146067416,0.224852071005917
0.0219101123595506,0.229411764705882
0.0219101123595506,0.228070175438596
0.0219101123595506,0.226744186046512
0.0219101123595506,0.225433526011561
0.0224719101123595,0.229885057471264
0.0224719101123595,0.228571428571429
0.0224719101123595,0.227272727272727
0.0224719101123595,0.225988700564972
0.0224719101123595,0.224719101123595
0.0224719101123595,0.223463687150838
0.0224719101123595,0.222222222222222
0.0224719101123595,0.220994475138122
0.0224719101123595,0.21978021978022
0.0224719101123595,0.218579234972678
0.0224719101123595,0.217391304347826
0.0230337078651685,0.221621621621622
0.0230337078651685,0.220430107526882
0.0230337078651685,0.219251336898396
0.0230337078651685,0.218085106382979
0.0230337078651685,0.216931216931217
0.0230337078651685,0.215789473684211
0.0235955056179775,0.219895287958115
0.0235955056179775,0.21875
0.0235955056179775,0.217616580310881
0.0235955056179775,0.216494845360825
0.0235955056179775,0.215384615384615
0.0235955056179775,0.214285714285714
0.0235955056179775,0.213197969543147
0.0235955056179775,0.212121212121212
0.0241573033707865,0.21608040201005
0.0241573033707865,0.215
0.0241573033707865,0.213930348258706
0.0247191011235955,0.217821782178218
0.0247191011235955,0.216748768472906
0.0252808988764045,0.220588235294118
0.0252808988764045,0.219512195121951
0.0252808988764045,0.218446601941748
0.0252808988764045,0.217391304347826
0.0252808988764045,0.216346153846154
0.0252808988764045,0.215311004784689
0.0252808988764045,0.214285714285714
0.0258426966292135,0.218009478672986
0.0264044943820225,0.221698113207547
0.0264044943820225,0.220657276995305
0.0269662921348315,0.224299065420561
0.0269662921348315,0.223255813953488
0.0275280898876404,0.226851851851852
0.0275280898876404,0.225806451612903
0.0275280898876404,0.224770642201835
0.0275280898876404,0.223744292237443
0.0280898876404494,0.227272727272727
0.0280898876404494,0.226244343891403
0.0286516853932584,0.22972972972973
0.0286516853932584,0.228699551569507
0.0286516853932584,0.227678571428571
0.0286516853932584,0.226666666666667
0.0286516853932584,0.225663716814159
0.0292134831460674,0.229074889867841
0.0292134831460674,0.228070175438596
0.0292134831460674,0.22707423580786
0.0292134831460674,0.226086956521739
0.0292134831460674,0.225108225108225
0.0292134831460674,0.224137931034483
0.0292134831460674,0.223175965665236
0.0292134831460674,0.222222222222222
0.0292134831460674,0.221276595744681
0.0292134831460674,0.220338983050847
0.0292134831460674,0.219409282700422
0.0292134831460674,0.218487394957983
0.0292134831460674,0.217573221757322
0.0292134831460674,0.216666666666667
0.0292134831460674,0.215767634854772
0.0292134831460674,0.214876033057851
0.0292134831460674,0.213991769547325
0.0292134831460674,0.213114754098361
0.0292134831460674,0.212244897959184
0.0292134831460674,0.211382113821138
0.0297752808988764,0.214574898785425
0.0297752808988764,0.213709677419355
0.0297752808988764,0.21285140562249
0.0297752808988764,0.212
0.0303370786516854,0.215139442231076
0.0303370786516854,0.214285714285714
0.0303370786516854,0.213438735177866
0.0303370786516854,0.21259842519685
0.0303370786516854,0.211764705882353
0.0303370786516854,0.2109375
0.0303370786516854,0.21011673151751
0.0308988764044944,0.213178294573643
0.0308988764044944,0.212355212355212
0.0308988764044944,0.211538461538462
0.0308988764044944,0.210727969348659
0.0308988764044944,0.209923664122137
0.0308988764044944,0.209125475285171
0.0308988764044944,0.208333333333333
0.0314606741573034,0.211320754716981
0.0314606741573034,0.210526315789474
0.0314606741573034,0.209737827715356
0.0320224719101124,0.212686567164179
0.0320224719101124,0.211895910780669
0.0320224719101124,0.211111111111111
0.0320224719101124,0.210332103321033
0.0320224719101124,0.209558823529412
0.0320224719101124,0.208791208791209
0.0320224719101124,0.208029197080292
0.0320224719101124,0.207272727272727
0.0320224719101124,0.206521739130435
0.0320224719101124,0.205776173285199
0.0325842696629213,0.20863309352518
0.0325842696629213,0.207885304659498
0.0325842696629213,0.207142857142857
0.0331460674157303,0.209964412811388
0.0337078651685393,0.212765957446809
0.0337078651685393,0.212014134275618
0.0337078651685393,0.211267605633803
0.0337078651685393,0.210526315789474
0.0337078651685393,0.20979020979021
0.0337078651685393,0.209059233449477
0.0337078651685393,0.208333333333333
0.0337078651685393,0.207612456747405
0.0337078651685393,0.206896551724138
0.0337078651685393,0.206185567010309
0.0337078651685393,0.205479452054795
0.0337078651685393,0.204778156996587
0.0337078651685393,0.204081632653061
0.0337078651685393,0.203389830508475
0.0342696629213483,0.206081081081081
0.0342696629213483,0.205387205387205
0.0348314606741573,0.208053691275168
0.0353932584269663,0.210702341137124
0.0353932584269663,0.21
0.0353932584269663,0.209302325581395
0.0353932584269663,0.208609271523179
0.0353932584269663,0.207920792079208
0.0353932584269663,0.207236842105263
0.0353932584269663,0.20655737704918
0.0353932584269663,0.205882352941176
0.0353932584269663,0.205211726384365
0.0359550561797753,0.207792207792208
0.0359550561797753,0.207119741100324
0.0359550561797753,0.206451612903226
0.0365168539325843,0.209003215434084
0.0365168539325843,0.208333333333333
0.0365168539325843,0.207667731629393
0.0365168539325843,0.207006369426752
0.0370786516853933,0.20952380952381
0.0370786516853933,0.208860759493671
0.0376404494382022,0.211356466876972
0.0376404494382022,0.210691823899371
0.0376404494382022,0.210031347962382
0.0376404494382022,0.209375
0.0376404494382022,0.208722741433022
0.0376404494382022,0.208074534161491
0.0376404494382022,0.207430340557276
0.0376404494382022,0.20679012345679
0.0376404494382022,0.206153846153846
0.0376404494382022,0.205521472392638
0.0376404494382022,0.204892966360856
0.0382022471910112,0.207317073170732
0.0382022471910112,0.206686930091185
0.0382022471910112,0.206060606060606
0.0382022471910112,0.205438066465257
0.0387640449438202,0.207831325301205
0.0387640449438202,0.207207207207207
0.0393258426966292,0.209580838323353
0.0398876404494382,0.211940298507463
0.0398876404494382,0.211309523809524
0.0404494382022472,0.213649851632047
0.0404494382022472,0.21301775147929
0.0404494382022472,0.212389380530973
0.0410112359550562,0.214705882352941
0.0410112359550562,0.214076246334311
0.0410112359550562,0.213450292397661
0.0410112359550562,0.212827988338192
0.0410112359550562,0.212209302325581
0.0410112359550562,0.211594202898551
0.0415730337078652,0.213872832369942
0.0421348314606742,0.216138328530259
0.0421348314606742,0.21551724137931
0.0421348314606742,0.214899713467049
0.0421348314606742,0.214285714285714
0.0426966292134831,0.216524216524217
0.0426966292134831,0.215909090909091
0.0426966292134831,0.215297450424929
0.0426966292134831,0.214689265536723
0.0426966292134831,0.214084507042254
0.0426966292134831,0.213483146067416
0.0426966292134831,0.212885154061625
0.0432584269662921,0.215083798882682
0.0432584269662921,0.214484679665738
0.0432584269662921,0.213888888888889
0.0438202247191011,0.21606648199446
0.0438202247191011,0.215469613259669
0.0443820224719101,0.21763085399449
0.0443820224719101,0.217032967032967
0.0449438202247191,0.219178082191781
0.0455056179775281,0.221311475409836
0.0455056179775281,0.220708446866485
0.0455056179775281,0.220108695652174
0.0460674157303371,0.222222222222222
0.0460674157303371,0.221621621621622
0.0460674157303371,0.221024258760108
0.0460674157303371,0.220430107526882
0.0460674157303371,0.219839142091153
0.0460674157303371,0.219251336898396
0.0460674157303371,0.218666666666667
0.0460674157303371,0.218085106382979
0.0460674157303371,0.217506631299735
0.0460674157303371,0.216931216931217
0.0460674157303371,0.216358839050132
0.0460674157303371,0.215789473684211
0.0460674157303371,0.215223097112861
0.0466292134831461,0.217277486910995
0.0466292134831461,0.216710182767624
0.0471910112359551,0.21875
0.0471910112359551,0.218181818181818
0.0471910112359551,0.217616580310881
0.0471910112359551,0.217054263565891
0.047752808988764,0.219072164948454
0.047752808988764,0.218508997429306
0.047752808988764,0.217948717948718
0.048314606741573,0.219948849104859
0.048314606741573,0.219387755102041
0.048314606741573,0.21882951653944
0.048876404494382,0.220812182741117
0.048876404494382,0.220253164556962
0.048876404494382,0.21969696969697
0.048876404494382,0.219143576826196
0.048876404494382,0.218592964824121
0.048876404494382,0.218045112781955
0.048876404494382,0.2175
0.048876404494382,0.216957605985037
0.048876404494382,0.216417910447761
0.048876404494382,0.215880893300248
0.049438202247191,0.217821782178218
0.049438202247191,0.217283950617284
0.049438202247191,0.216748768472906
0.049438202247191,0.216216216216216
0.05,0.218137254901961
0.05,0.21760391198044
0.05,0.217073170731707
0.05,0.21654501216545
0.05,0.216019417475728
0.05,0.215496368038741
0.05,0.214975845410628
0.05,0.214457831325301
0.05,0.213942307692308
0.05,0.213429256594724
0.05,0.212918660287081
0.050561797752809,0.214797136038186
0.050561797752809,0.214285714285714
0.050561797752809,0.213776722090261
0.050561797752809,0.213270142180095
0.050561797752809,0.212765957446809
0.050561797752809,0.212264150943396
0.050561797752809,0.211764705882353
0.050561797752809,0.211267605633803
0.050561797752809,0.210772833723653
0.050561797752809,0.210280373831776
0.050561797752809,0.20979020979021
0.051123595505618,0.211627906976744
0.051123595505618,0.211136890951276
0.051123595505618,0.210648148148148
0.051123595505618,0.210161662817552
0.051123595505618,0.209677419354839
0.051123595505618,0.209195402298851
0.051123595505618,0.208715596330275
0.051685393258427,0.210526315789474
0.051685393258427,0.210045662100457
0.052247191011236,0.211845102505695
0.052247191011236,0.211363636363636
0.052247191011236,0.210884353741497
0.0528089887640449,0.212669683257919
0.0528089887640449,0.212189616252822
0.0528089887640449,0.211711711711712
0.0528089887640449,0.21123595505618
0.0528089887640449,0.210762331838565
0.0528089887640449,0.210290827740492
0.0528089887640449,0.209821428571429
0.0533707865168539,0.211581291759465
0.0533707865168539,0.211111111111111
0.0533707865168539,0.210643015521064
0.0533707865168539,0.210176991150442
0.0533707865168539,0.209713024282561
0.0533707865168539,0.209251101321586
0.0533707865168539,0.208791208791209
0.0533707865168539,0.208333333333333
0.0533707865168539,0.207877461706783
0.0533707865168539,0.207423580786026
0.0533707865168539,0.206971677559913
0.0533707865168539,0.206521739130435
0.0533707865168539,0.206073752711497
0.0533707865168539,0.205627705627706
0.0533707865168539,0.205183585313175
0.0533707865168539,0.204741379310345
0.0533707865168539,0.204301075268817
0.0533707865168539,0.203862660944206
0.0533707865168539,0.203426124197002
0.0533707865168539,0.202991452991453
0.0533707865168539,0.202558635394456
0.0533707865168539,0.202127659574468
0.0533707865168539,0.201698513800425
0.0533707865168539,0.201271186440678
0.0533707865168539,0.200845665961945
0.0533707865168539,0.20042194092827
0.0533707865168539,0.2
0.0533707865168539,0.199579831932773
0.0533707865168539,0.19916142557652
0.0533707865168539,0.198744769874477
0.0533707865168539,0.198329853862213
0.0533707865168539,0.197916666666667
0.0533707865168539,0.197505197505198
0.0533707865168539,0.197095435684647
0.0533707865168539,0.196687370600414
0.0533707865168539,0.196280991735537
0.0533707865168539,0.195876288659794
0.0533707865168539,0.195473251028807
0.0533707865168539,0.195071868583162
0.0533707865168539,0.194672131147541
0.0533707865168539,0.194274028629857
0.0533707865168539,0.193877551020408
0.0533707865168539,0.193482688391039
0.0533707865168539,0.193089430894309
0.0533707865168539,0.192697768762677
0.0539325842696629,0.194331983805668
0.0539325842696629,0.193939393939394
0.0544943820224719,0.195564516129032
0.0550561797752809,0.197183098591549
0.0550561797752809,0.196787148594378
0.0550561797752809,0.196392785571142
0.0550561797752809,0.196
0.0550561797752809,0.19560878243513
0.0550561797752809,0.195219123505976
0.0550561797752809,0.194831013916501
0.0550561797752809,0.194444444444444
0.0550561797752809,0.194059405940594
0.0550561797752809,0.193675889328063
0.0550561797752809,0.193293885601578
0.0550561797752809,0.192913385826772
0.0550561797752809,0.192534381139489
0.0550561797752809,0.192156862745098
0.0550561797752809,0.191780821917808
0.0550561797752809,0.19140625
0.0550561797752809,0.191033138401559
0.0550561797752809,0.190661478599222
0.0550561797752809,0.190291262135922
0.0550561797752809,0.189922480620155
0.0550561797752809,0.189555125725339
0.0550561797752809,0.189189189189189
0.0550561797752809,0.188824662813102
0.0550561797752809,0.188461538461538
0.0550561797752809,0.18809980806142
0.0556179775280899,0.189655172413793
0.0561797752808989,0.191204588910134
0.0561797752808989,0.190839694656489
0.0561797752808989,0.19047619047619
0.0561797752808989,0.190114068441065
0.0567415730337079,0.191650853889943
0.0567415730337079,0.191287878787879
0.0567415730337079,0.190926275992439
0.0567415730337079,0.190566037735849
0.0567415730337079,0.190207156308851
0.0567415730337079,0.18984962406015
0.0567415730337079,0.189493433395872
0.0567415730337079,0.189138576779026
0.0567415730337079,0.188785046728972
0.0573033707865169,0.190298507462687
0.0573033707865169,0.189944134078212
0.0573033707865169,0.189591078066914
0.0573033707865169,0.189239332096475
0.0573033707865169,0.188888888888889
0.0573033707865169,0.188539741219963
0.0573033707865169,0.188191881918819
0.0573033707865169,0.187845303867403
0.0573033707865169,0.1875
0.0573033707865169,0.187155963302752
0.0573033707865169,0.186813186813187
0.0573033707865169,0.186471663619744
0.0573033707865169,0.186131386861314
0.0573033707865169,0.185792349726776
0.0573033707865169,0.185454545454545
0.0578651685393258,0.186932849364791
0.0578651685393258,0.186594202898551
0.0578651685393258,0.18625678119349
0.0578651685393258,0.185920577617329
0.0578651685393258,0.185585585585586
0.0578651685393258,0.185251798561151
0.0584269662921348,0.186714542190305
0.0589887640449438,0.188172043010753
0.0589887640449438,0.18783542039356
0.0589887640449438,0.1875
0.0589887640449438,0.18716577540107
0.0589887640449438,0.186832740213523
0.0595505617977528,0.188277087033748
0.0595505617977528,0.187943262411348
0.0595505617977528,0.187610619469027
0.0595505617977528,0.187279151943463
0.0595505617977528,0.18694885361552
0.0595505617977528,0.186619718309859
0.0595505617977528,0.186291739894552
0.0595505617977528,0.185964912280702
0.0595505617977528,0.185639229422067
0.0595505617977528,0.185314685314685
0.0595505617977528,0.18499127399651
0.0595505617977528,0.184668989547038
0.0595505617977528,0.184347826086957
0.0595505617977528,0.184027777777778
0.0595505617977528,0.18370883882149
0.0595505617977528,0.183391003460208
0.0595505617977528,0.18307426597582
0.0595505617977528,0.182758620689655
0.0595505617977528,0.182444061962134
0.0601123595505618,0.183848797250859
0.0601123595505618,0.183533447684391
0.0601123595505618,0.183219178082192
0.0601123595505618,0.182905982905983
0.0601123595505618,0.18259385665529
0.0601123595505618,0.182282793867121
0.0601123595505618,0.181972789115646
0.0601123595505618,0.181663837011885
0.0601123595505618,0.18135593220339
0.0601123595505618,0.181049069373942
0.0601123595505618,0.180743243243243
0.0601123595505618,0.18043844856661
0.0601123595505618,0.18013468013468
0.0601123595505618,0.179831932773109
0.0601123595505618,0.179530201342282
0.0606741573033708,0.180904522613065
0.0606741573033708,0.180602006688963
0.0606741573033708,0.180300500834725
0.0606741573033708,0.18
0.0606741573033708,0.179700499168053
0.0606741573033708,0.179401993355482
0.0606741573033708,0.17910447761194
0.0606741573033708,0.178807947019868
0.0606741573033708,0.178512396694215
0.0606741573033708,0.178217821782178
0.0606741573033708,0.177924217462932
0.0606741573033708,0.177631578947368
0.0606741573033708,0.177339901477833
0.0606741573033708,0.177049180327869
0.0606741573033708,0.176759410801964
0.0606741573033708,0.176470588235294
0.0606741573033708,0.176182707993475
0.0606741573033708,0.175895765472313
0.0612359550561798,0.177235772357724
0.0612359550561798,0.176948051948052
0.0612359550561798,0.176661264181524
0.0612359550561798,0.176375404530744
0.0612359550561798,0.176090468497577
0.0612359550561798,0.175806451612903
0.0617977528089888,0.177133655394525
0.0617977528089888,0.176848874598071
0.0617977528089888,0.176565008025682
0.0617977528089888,0.176282051282051
0.0617977528089888,0.176
0.0617977528089888,0.175718849840256
0.0617977528089888,0.175438596491228
0.0617977528089888,0.17515923566879
0.0617977528089888,0.174880763116057
0.0617977528089888,0.174603174603175
0.0617977528089888,0.1743264659271
0.0617977528089888,0.174050632911392
0.0617977528089888,0.173775671406003
