Iteration,TrainingLoss
1,7.01774978637695
2,4.72196388244629
3,4.68025588989258
4,3.83130264282227
5,3.03206062316895
6,2.57177519798279
7,1.77610313892365
8,1.4891951084137
9,1.53852891921997
10,1.18016195297241
11,1.17422330379486
12,1.05449104309082
13,0.800756990909576
14,0.801088988780975
15,0.847782909870148
16,0.828258574008942
17,0.736313700675964
18,0.772136211395264
19,0.654435694217682
20,0.835289478302002
21,0.783445656299591
22,0.629331707954407
23,0.771163940429688
24,0.622357189655304
25,0.680582821369171
26,0.559580564498901
27,0.582339942455292
28,0.851025283336639
29,0.668545544147491
30,0.6811882853508
31,0.605450987815857
32,0.598177850246429
33,0.693109333515167
34,0.579912126064301
35,0.829684138298035
36,0.657161116600037
37,0.655653417110443
38,0.59033727645874
39,0.549019634723663
40,0.602603375911713
41,0.606183290481567
42,0.696826934814453
43,0.626322567462921
44,0.551013648509979
45,0.572140455245972
46,0.6050945520401
47,0.681751787662506
48,0.644571304321289
49,0.586642324924469
50,0.67487895488739
51,0.777776777744293
52,0.507097005844116
53,0.580719232559204
54,0.561104893684387
55,0.584921658039093
56,0.54295802116394
57,0.478611975908279
58,0.673440098762512
59,0.758447766304016
60,0.484686464071274
61,0.54284793138504
62,0.530282616615295
63,0.487776458263397
64,0.615447282791138
65,0.469003766775131
66,0.544567286968231
67,0.549613475799561
68,0.494213998317719
69,0.664496421813965
70,0.65131002664566
71,0.598233997821808
72,0.480490535497665
73,0.589116513729095
74,0.57942658662796
75,0.555458903312683
76,0.557615995407104
77,0.524734973907471
78,0.531319379806519
79,0.57533061504364
80,0.613631248474121
81,0.397007048130035
82,0.46049365401268
83,0.536835074424744
84,0.520056664943695
85,0.585144460201263
86,0.552220702171326
87,0.603994250297546
88,0.546078562736511
89,0.543326020240784
90,0.553449809551239
91,0.442440241575241
92,0.459590703248978
93,0.589647889137268
94,0.561812579631805
95,0.615041792392731
96,0.523242235183716
97,0.497501403093338
98,0.587756872177124
99,0.613862216472626
100,0.40651673078537
101,0.630006432533264
102,0.626904249191284
103,0.434923768043518
104,0.561933279037476
105,0.666976571083069
106,0.639796733856201
107,0.545204937458038
108,0.625257074832916
109,0.574558556079865
110,0.520697951316833
111,0.612356007099152
112,0.589751601219177
113,0.564257979393005
114,0.58133602142334
115,0.785698056221008
116,0.437654972076416
117,0.430935800075531
118,0.440366178750992
119,0.539683222770691
120,0.588895499706268
121,0.491827815771103
122,0.563689768314362
123,0.466893821954727
124,0.57538241147995
125,0.48262083530426
126,0.506095826625824
127,0.519243478775024
128,0.629439890384674
129,0.508710920810699
130,0.531359434127808
131,0.447918653488159
132,0.535382926464081
133,0.464030981063843
134,0.552592515945435
135,0.547175526618958
136,0.530294179916382
137,0.539115250110626
138,0.524963319301605
139,0.467624336481094
140,0.533156752586365
141,0.558067202568054
142,0.444646030664444
143,0.473465889692307
144,0.435085475444794
145,0.487071752548218
146,0.513116657733917
147,0.482461184263229
148,0.490470081567764
149,0.421881169080734
150,0.471802264451981
151,0.394476056098938
152,0.524359345436096
153,0.470781773328781
154,0.412904113531113
155,0.422854661941528
156,0.421320706605911
157,0.50640195608139
158,0.383651554584503
159,0.422068774700165
160,0.428266018629074
161,0.396449714899063
162,0.409835904836655
163,0.405452817678452
164,0.429311156272888
165,0.392689198255539
166,0.585525989532471
167,0.501112997531891
168,0.46397590637207
169,0.431593954563141
170,0.577476918697357
171,0.401006519794464
172,0.452452600002289
173,0.478687733411789
174,0.572318971157074
175,0.473106473684311
176,0.4214728474617
177,0.554308772087097
178,0.646176099777222
179,0.410244703292847
180,0.452028274536133
181,0.524279356002808
182,0.533264219760895
183,0.560306906700134
184,0.430292904376984
185,0.396142959594727
186,0.465475410223007
187,0.594286322593689
188,0.557591736316681
189,0.388470500707626
190,0.399966895580292
191,0.475615918636322
192,0.457035154104233
193,0.411492645740509
194,0.467863470315933
195,0.401581019163132
196,0.396159529685974
197,0.376794397830963
198,0.385598629713058
199,0.404119431972504
200,0.438050866127014
201,0.440994203090668
202,0.328657746315002
203,0.33546456694603
204,0.350681453943253
205,0.493478864431381
206,0.432300418615341
207,0.415426075458527
208,0.312554329633713
209,0.48838859796524
210,0.376104652881622
211,0.445008784532547
212,0.483916640281677
213,0.425494164228439
214,0.449764966964722
215,0.536933600902557
216,0.393328487873077
217,0.40619957447052
218,0.42549803853035
219,0.353969156742096
220,0.400141805410385
221,0.37135311961174
222,0.402876138687134
223,0.430027425289154
224,0.423792839050293
225,0.359318524599075
226,0.397990942001343
227,0.426423609256744
228,0.356920480728149
229,0.347605258226395
230,0.582723200321198
231,0.461091101169586
232,0.395404070615768
233,0.432775408029556
234,0.389362126588821
235,0.401768714189529
236,0.392545342445374
237,0.346934139728546
238,0.387616276741028
239,0.416060239076614
240,0.400695264339447
241,0.487313508987427
242,0.358307331800461
243,0.474029034376144
244,0.349838018417358
245,0.481711238622665
246,0.438249737024307
247,0.460088729858398
248,0.461569607257843
249,0.441664427518845
250,0.495061963796616
251,0.347303181886673
252,0.474170714616776
253,0.450567781925201
254,0.394381821155548
255,0.37850883603096
256,0.457677781581879
257,0.309257924556732
258,0.335130363702774
259,0.34460660815239
260,0.353790432214737
261,0.454379796981812
262,0.359037578105927
263,0.435466349124908
264,0.327037960290909
265,0.286423772573471
266,0.377798795700073
267,0.353408008813858
268,0.356833666563034
269,0.374010056257248
270,0.358690172433853
271,0.411781579256058
272,0.342117190361023
273,0.339598447084427
274,0.303756058216095
275,0.33313113451004
276,0.352376520633698
277,0.442163586616516
278,0.396610528230667
279,0.352716714143753
280,0.362652480602264
281,0.36602583527565
282,0.303003460168839
283,0.404378116130829
284,0.318610399961472
285,0.373289436101913
286,0.384820818901062
287,0.330712199211121
288,0.299789547920227
289,0.347831100225449
290,0.396550863981247
291,0.42381551861763
292,0.368365794420242
293,0.311856418848038
294,0.371052533388138
295,0.372364968061447
296,0.372971206903458
297,0.384403258562088
298,0.38920184969902
299,0.34807026386261
300,0.366488009691238
301,0.375186622142792
302,0.390578061342239
303,0.396413415670395
304,0.583940386772156
305,0.550458908081055
306,0.405401796102524
307,0.336554825305939
308,0.355464696884155
309,0.329866319894791
310,0.378123611211777
311,0.376305848360062
312,0.342937022447586
313,0.342038154602051
314,0.487652689218521
315,0.445011675357819
316,0.403462022542953
317,0.371308445930481
318,0.410285532474518
319,0.372695773839951
320,0.341584175825119
321,0.365435928106308
322,0.307385683059692
323,0.34922131896019
324,0.321786522865295
325,0.308666348457336
326,0.296217769384384
327,0.443570286035538
328,0.353817701339722
329,0.336119532585144
330,0.352362751960754
331,0.351339489221573
332,0.333889186382294
333,0.274726092815399
334,0.454892575740814
335,0.339440375566483
336,0.344645738601685
337,0.350360065698624
338,0.354085177183151
339,0.468904316425323
340,0.395863860845566
341,0.375535845756531
342,0.377930879592896
343,0.319015115499496
344,0.355297833681107
345,0.312449336051941
346,0.28594982624054
347,0.310153543949127
